read_id	read_length	left_orientation	left_score	left_aln_primer_bases	left_matches	left_mismatches	left_identity	left_primer_coverage	left_window_start	left_window_end	right_orientation	right_score	right_aln_primer_bases	right_matches	right_mismatches	right_identity	right_primer_coverage	right_window_start	right_window_end	left_hit	right_hit	flanked	flanked_orientation
4209_3LV7H5_2	567	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4210_3LV7H5_2	592	R1_rc	16.0	20	15	5	0.75	1.0	0	28	R1_rc	19.5	20	18	2	0.9	1.0	32	61	False	True	False	NA
4211_3LV7H5_2	188	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4212_3LV7H5_2	572	R1	26.0	20	13	7	0.65	1.0	7	20	R1_rc	26.0	20	13	7	0.65	1.0	66	79	False	False	False	NA
4213_3LV7H5_2	331	R1_rc	17.5	20	16	4	0.8	1.0	32	57	R1	17.5	20	16	4	0.8	1.0	23	48	True	True	True	R1_rc|R1
4214_3LV7H5_2	661	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4215_3LV7H5_2	248	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	35.0	20	19	1	0.95	1.0	52	73	True	True	True	R1|R1_rc
4216_3LV7H5_2	671	R1_rc	22.0	20	16	4	0.8	1.0	38	61	R1	22.0	20	16	4	0.8	1.0	18	41	True	True	True	R1_rc|R1
4217_3LV7H5_2	377	R1_rc	18.0	20	14	6	0.7	1.0	48	70	R1	18.0	20	14	6	0.7	1.0	12	34	False	False	False	NA
4218_3LV7H5_2	803	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4219_3LV7H5_2	287	R1_rc	18.0	20	15	5	0.75	1.0	36	65	R1_rc	21.0	20	15	5	0.75	1.0	15	37	False	False	False	NA
4220_3LV7H5_2	436	R1_rc	19.0	20	15	5	0.75	1.0	37	62	R1	16.5	20	11	9	0.55	1.0	16	32	False	False	False	NA
4221_3LV7H5_2	403	R1_rc	21.5	20	18	2	0.9	1.0	46	79	R1_rc	16.5	20	16	4	0.8	1.0	46	77	True	True	True	R1_rc|R1_rc
4222_3LV7H5_2	379	R1_rc	18.0	20	13	7	0.65	1.0	62	81	R1_rc	18.0	20	18	2	0.9	1.0	37	76	False	True	False	NA
4223_3LV7H5_2	442	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4224_3LV7H5_2	341	R1	19.0	20	18	2	0.9	1.0	4	38	R1_rc	18.5	20	16	4	0.8	1.0	33	61	True	True	True	R1|R1_rc
4225_3LV7H5_2	747	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4226_3LV7H5_2	574	R1	17.5	20	14	6	0.7	1.0	31	53	R1	18.5	20	15	5	0.75	1.0	21	47	False	False	False	NA
4227_3LV7H5_2	515	R1	17.0	20	18	2	0.9	1.0	38	75	R1_rc	17.0	20	12	8	0.6	1.0	27	45	True	False	False	NA
4228_3LV7H5_2	1662	R1_rc	20.0	20	15	5	0.75	1.0	49	72	R1_rc	17.0	20	14	6	0.7	1.0	35	60	False	False	False	NA
4229_3LV7H5_2	321	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4230_3LV7H5_2	471	R1	37.0	20	19	1	0.95	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4231_3LV7H5_2	275	R1	33.0	20	18	2	0.9	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4232_3LV7H5_2	240	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	52	72	True	True	True	R1|R1_rc
4233_3LV7H5_2	251	R1	18.0	20	18	2	0.9	1.0	19	56	R1_rc	23.5	20	19	1	0.95	1.0	6	38	True	True	True	R1|R1_rc
4234_3LV7H5_2	366	R1_rc	18.5	20	15	5	0.75	1.0	44	68	R1	16.0	20	15	5	0.75	1.0	51	79	False	False	False	NA
4235_3LV7H5_2	1253	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	33.0	20	19	1	0.95	1.0	55	78	True	True	True	R1|R1_rc
4236_3LV7H5_2	548	R1	18.0	20	15	5	0.75	1.0	37	60	R1_rc	19.0	20	16	4	0.8	1.0	47	76	False	True	False	NA
4237_3LV7H5_2	370	R1	40.0	20	20	0	1.0	1.0	7	27	R1	16.0	20	15	5	0.75	1.0	53	81	True	False	False	NA
4238_3LV7H5_2	404	R1_rc	20.5	20	15	5	0.75	1.0	39	61	R1	20.5	20	15	5	0.75	1.0	21	43	False	False	False	NA
4239_3LV7H5_2	584	R1	40.0	20	20	0	1.0	1.0	7	27	R1_rc	40.0	20	20	0	1.0	1.0	53	73	True	True	True	R1|R1_rc
4240_3LV7H5_2	602	R1	16.5	20	12	8	0.6	1.0	63	81	R1_rc	16.5	20	13	7	0.65	1.0	4	25	False	False	False	NA
4241_3LV7H5_2	121	R1	21.0	20	16	4	0.8	1.0	43	70	R1	21.0	20	16	4	0.8	1.0	2	29	True	True	True	R1|R1
4242_3LV7H5_2	872	R1_rc	16.5	20	14	6	0.7	1.0	46	70	R1	21.0	20	16	4	0.8	1.0	8	34	False	True	False	NA
